date,swe,latitude,longitude
1991-01-01,86.36,44.84237,-114.26871
1991-01-02,86.36,44.84237,-114.26871
1991-01-03,86.36,44.84237,-114.26871
1991-01-04,86.36,44.84237,-114.26871
1991-01-05,86.36,44.84237,-114.26871
1991-01-06,86.36,44.84237,-114.26871
1991-01-07,86.36,44.84237,-114.26871
1991-01-08,86.36,44.84237,-114.26871
1991-01-09,86.36,44.84237,-114.26871
1991-01-10,86.36,44.84237,-114.26871
1991-01-11,86.36,44.84237,-114.26871
1991-01-12,88.9,44.84237,-114.26871
1991-01-13,93.98,44.84237,-114.26871
1991-01-14,101.6,44.84237,-114.26871
1991-01-15,111.76,44.84237,-114.26871
1991-01-16,121.92,44.84237,-114.26871
1991-01-17,121.92,44.84237,-114.26871
1991-01-18,121.92,44.84237,-114.26871
1991-01-19,121.92,44.84237,-114.26871
1991-01-20,121.92,44.84237,-114.26871
1991-01-21,121.92,44.84237,-114.26871
1991-01-22,121.92,44.84237,-114.26871
1991-01-23,121.92,44.84237,-114.26871
1991-01-24,121.92,44.84237,-114.26871
1991-01-25,121.92,44.84237,-114.26871
1991-01-26,121.92,44.84237,-114.26871
1991-01-27,121.92,44.84237,-114.26871
1991-01-28,121.92,44.84237,-114.26871
1991-01-29,121.92,44.84237,-114.26871
1991-01-30,121.92,44.84237,-114.26871
1991-01-31,124.46,44.84237,-114.26871
1991-02-01,127.0,44.84237,-114.26871
1991-02-02,127.0,44.84237,-114.26871
1991-02-03,127.0,44.84237,-114.26871
1991-02-04,127.0,44.84237,-114.26871
1991-02-05,127.0,44.84237,-114.26871
1991-02-06,127.0,44.84237,-114.26871
1991-02-07,127.0,44.84237,-114.26871
1991-02-08,127.0,44.84237,-114.26871
1991-02-09,127.0,44.84237,-114.26871
1991-02-10,127.0,44.84237,-114.26871
1991-02-11,127.0,44.84237,-114.26871
1991-02-12,127.0,44.84237,-114.26871
1991-02-13,127.0,44.84237,-114.26871
1991-02-14,127.0,44.84237,-114.26871
1991-02-15,127.0,44.84237,-114.26871
1991-02-16,132.08,44.84237,-114.26871
1991-02-17,132.08,44.84237,-114.26871
1991-02-18,132.08,44.84237,-114.26871
1991-02-19,132.08,44.84237,-114.26871
1991-02-20,132.08,44.84237,-114.26871
1991-02-21,132.08,44.84237,-114.26871
1991-02-22,132.08,44.84237,-114.26871
1991-02-23,132.08,44.84237,-114.26871
1991-02-24,132.08,44.84237,-114.26871
1991-02-25,132.08,44.84237,-114.26871
1991-02-26,132.08,44.84237,-114.26871
1991-02-27,132.08,44.84237,-114.26871
1991-02-28,132.08,44.84237,-114.26871
1991-03-01,132.08,44.84237,-114.26871
1991-03-02,137.16,44.84237,-114.26871
1991-03-03,142.24,44.84237,-114.26871
1991-03-04,162.56,44.84237,-114.26871
1991-03-05,185.42,44.84237,-114.26871
1991-03-06,185.42,44.84237,-114.26871
1991-03-07,185.42,44.84237,-114.26871
1991-03-08,187.96,44.84237,-114.26871
1991-03-09,187.96,44.84237,-114.26871
1991-03-10,190.5,44.84237,-114.26871
1991-03-11,190.5,44.84237,-114.26871
1991-03-12,190.5,44.84237,-114.26871
1991-03-13,195.58,44.84237,-114.26871
1991-03-14,200.66,44.84237,-114.26871
1991-03-15,203.2,44.84237,-114.26871
1991-03-16,203.2,44.84237,-114.26871
1991-03-17,203.2,44.84237,-114.26871
1991-03-18,203.2,44.84237,-114.26871
1991-03-19,203.2,44.84237,-114.26871
1991-03-20,203.2,44.84237,-114.26871
1991-03-21,203.2,44.84237,-114.26871
1991-03-22,205.74,44.84237,-114.26871
1991-03-23,208.28,44.84237,-114.26871
1991-03-24,208.28,44.84237,-114.26871
1991-03-25,213.36,44.84237,-114.26871
1991-03-26,215.9,44.84237,-114.26871
1991-03-27,215.9,44.84237,-114.26871
1991-03-28,215.9,44.84237,-114.26871
1991-03-29,215.9,44.84237,-114.26871
1991-03-30,218.44,44.84237,-114.26871
1991-03-31,213.36,44.84237,-114.26871
1991-04-01,210.82,44.84237,-114.26871
1991-04-02,205.74,44.84237,-114.26871
1991-04-03,205.74,44.84237,-114.26871
1991-04-04,200.66,44.84237,-114.26871
1991-04-05,195.58,44.84237,-114.26871
1991-04-06,195.58,44.84237,-114.26871
1991-04-07,195.58,44.84237,-114.26871
1991-04-08,195.58,44.84237,-114.26871
1991-04-09,198.12,44.84237,-114.26871
1991-04-10,203.2,44.84237,-114.26871
1991-04-11,203.2,44.84237,-114.26871
1991-04-12,208.28,44.84237,-114.26871
1991-04-13,208.28,44.84237,-114.26871
1991-04-14,208.28,44.84237,-114.26871
1991-04-15,208.28,44.84237,-114.26871
1991-04-16,213.36,44.84237,-114.26871
1991-04-17,220.98,44.84237,-114.26871
1991-04-18,223.52,44.84237,-114.26871
1991-04-19,223.52,44.84237,-114.26871
1991-04-20,223.52,44.84237,-114.26871
1991-04-21,223.52,44.84237,-114.26871
1991-04-22,220.98,44.84237,-114.26871
1991-04-23,215.9,44.84237,-114.26871
1991-04-24,208.28,44.84237,-114.26871
1991-04-25,205.74,44.84237,-114.26871
1991-04-26,208.28,44.84237,-114.26871
1991-04-27,210.82,44.84237,-114.26871
1991-04-28,213.36,44.84237,-114.26871
1991-04-29,215.9,44.84237,-114.26871
1991-04-30,223.52,44.84237,-114.26871
1991-05-01,226.06,44.84237,-114.26871
1991-05-02,228.6,44.84237,-114.26871
1991-05-03,228.6,44.84237,-114.26871
1991-05-04,228.6,44.84237,-114.26871
1991-05-05,231.14,44.84237,-114.26871
1991-05-06,228.6,44.84237,-114.26871
1991-05-07,226.06,44.84237,-114.26871
1991-05-08,223.52,44.84237,-114.26871
1991-05-09,208.28,44.84237,-114.26871
1991-05-10,208.28,44.84237,-114.26871
1991-05-11,215.9,44.84237,-114.26871
1991-05-12,226.06,44.84237,-114.26871
1991-05-13,226.06,44.84237,-114.26871
1991-05-14,223.52,44.84237,-114.26871
1991-05-15,223.52,44.84237,-114.26871
1991-05-16,208.28,44.84237,-114.26871
1991-05-17,190.5,44.84237,-114.26871
1991-05-18,172.72,44.84237,-114.26871
1991-05-19,172.72,44.84237,-114.26871
1991-05-20,157.48,44.84237,-114.26871
1991-05-21,137.16,44.84237,-114.26871
1991-05-22,114.3,44.84237,-114.26871
1991-05-23,91.44,44.84237,-114.26871
1991-05-24,66.04,44.84237,-114.26871
1991-05-25,38.1,44.84237,-114.26871
1991-05-26,12.7,44.84237,-114.26871
1991-05-27,0.0,44.84237,-114.26871
1991-05-28,0.0,44.84237,-114.26871
1991-05-29,0.0,44.84237,-114.26871
1991-05-30,0.0,44.84237,-114.26871
1991-05-31,0.0,44.84237,-114.26871
1991-06-01,0.0,44.84237,-114.26871
1991-06-02,0.0,44.84237,-114.26871
1991-06-03,0.0,44.84237,-114.26871
1991-06-04,0.0,44.84237,-114.26871
